Book,Author,Dept Name
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
Engineering Book 1,Unknown Author,Materials Science
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 3,Unknown Author,Civil Engineering
Engineering Book 4,Unknown Author,Materials Science
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 8,Unknown Author,Chemical Engineering
Engineering Book 9,Unknown Author,Aerospace Engineering
Engineering Book 10,Unknown Author,Aerospace Engineering
Engineering Book 11,Unknown Author,Aerospace Engineering
Engineering Book 12,Unknown Author,Industrial Engineering
Engineering Book 13,Unknown Author,Materials Science
Engineering Book 14,Unknown Author,Biomedical Engineering
Engineering Book 15,Unknown Author,Biomedical Engineering
Engineering Book 16,Unknown Author,Industrial Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Machinery's Handbook,"Erik Oberg, Franklin D. Jones",Mechanical Engineering
Fundamentals of Thermodynamics,"Claus Borgnakke, Richard E. Sonntag",Mechanical Engineering
Machinery's Handbook,"Erik Oberg, Franklin D. Jones",Mechanical Engineering
Engineering Book 21,Unknown Author,Environmental Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 23,Unknown Author,Chemical Engineering
Engineering Book 24,Unknown Author,Aerospace Engineering
Engineering Book 25,Unknown Author,Biomedical Engineering
Engineering Book 26,Unknown Author,Industrial Engineering
Engineering Book 27,Unknown Author,Environmental Engineering
Engineering Book 28,Unknown Author,Biomedical Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Computer Networking: A Top-Down Approach,Kurose & Ross,Computer Science
Engineering Book 31,Unknown Author,Aerospace Engineering
Engineering Book 32,Unknown Author,Aerospace Engineering
Engineering Book 33,Unknown Author,Environmental Engineering
Engineering Book 34,Unknown Author,Materials Science
Engineering Book 35,Unknown Author,Environmental Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Book 37,Unknown Author,Biomedical Engineering
Engineering Book 38,Unknown Author,Civil Engineering
Engineering Book 39,Unknown Author,Materials Science
Electrical Engineering 101,Darren Ashby,Electrical Engineering
Engineering Book 41,Unknown Author,Civil Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Book 43,Unknown Author,Aerospace Engineering
Engineering Book 44,Unknown Author,Environmental Engineering
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 46,Unknown Author,Biomedical Engineering
Engineering Book 47,Unknown Author,Industrial Engineering
Engineering Book 48,Unknown Author,Aerospace Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Mechanics: Dynamics,"J.L. Meriam, L.G. Kraige",Mechanical Engineering
Engineering Book 51,Unknown Author,Chemical Engineering
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science
Engineering Book 53,Unknown Author,Industrial Engineering
Engineering Book 54,Unknown Author,Biomedical Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 56,Unknown Author,Materials Science
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Engineering Book 58,Unknown Author,Environmental Engineering
Power System Analysis,"John J. Grainger, William D. Stevenson",Electrical Engineering
Engineering Book 60,Unknown Author,Civil Engineering
Engineering Book 61,Unknown Author,Industrial Engineering
Engineering Book 62,Unknown Author,Industrial Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 64,Unknown Author,Industrial Engineering
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Computer Science
Engineering Book 66,Unknown Author,Civil Engineering
Engineering Book 67,Unknown Author,Civil Engineering
Engineering Book 68,Unknown Author,Environmental Engineering
Engineering Book 69,Unknown Author,Aerospace Engineering
Engineering Book 70,Unknown Author,Environmental Engineering
Engineering Book 71,Unknown Author,Materials Science
Engineering Book 72,Unknown Author,Industrial Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 74,Unknown Author,Chemical Engineering
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
Engineering Book 76,Unknown Author,Materials Science
Engineering Book 77,Unknown Author,Environmental Engineering
Engineering Book 78,Unknown Author,Environmental Engineering
Engineering Book 79,Unknown Author,Biomedical Engineering
Engineering Book 80,Unknown Author,Aerospace Engineering
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Book 82,Unknown Author,Aerospace Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 84,Unknown Author,Materials Science
Engineering Book 85,Unknown Author,Civil Engineering
Engineering Book 86,Unknown Author,Materials Science
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 88,Unknown Author,Civil Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky",Electrical Engineering
